City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Faanui,PF,80.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Caravelas,BR,83.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Taquaritinga Do Norte,BR,83.66,overcast clouds,-7.9031,-36.0442,Pousada Thalyta
250,Viedma,AR,87.91,clear sky,-40.8135,-62.9967,Hotel Cristal
251,Saint-Pierre,RE,80.24,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
254,Neiafu,TO,80.24,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
256,Kudahuvadhoo,MV,81.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
260,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
265,Castro,BR,75.09,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
266,Sola,VU,77.79,overcast clouds,-13.8833,167.55,Leumerus Bungalows
